date,co,no,no2,o3,so2,pm2_5,pm10,nh3,hour,day,dow,si_pm2_5,si_pm10,si_no2,si_so2,si_nh3,si_o3,si_co,aqi_hourly,dominant_pollutant_hourly,category_hourly
2023-01-01 00:00:00,1655.58,1.66,39.41,5.9,17.88,169.29,194.64,5.83,0,2023-01-01,Sunday,337.9,163.1,49.3,22.3,1.5,5.9,82.8,337.9,pm2_5,Very Poor
2023-01-01 01:00:00,1869.2,6.82,42.16,1.99,22.17,182.84,211.08,7.66,1,2023-01-01,Sunday,348.3,174.1,52.7,27.7,1.9,2.0,93.5,348.3,pm2_5,Very Poor
2023-01-01 02:00:00,2510.07,27.72,43.87,0.02,30.04,220.25,260.68,11.4,2,2023-01-01,Sunday,377.1,210.7,54.8,37.5,2.9,0.0,106.4,377.1,pm2_5,Very Poor
2023-01-01 03:00:00,3150.94,55.43,44.55,0.85,35.76,252.9,304.12,13.55,3,2023-01-01,Sunday,401.2,254.1,55.7,44.7,3.4,0.8,114.4,401.2,pm2_5,Severe
2023-01-01 04:00:00,3471.37,68.84,45.24,5.45,39.1,266.36,322.8,14.19,4,2023-01-01,Sunday,406.5,272.8,56.6,48.9,3.5,5.5,118.4,406.5,pm2_5,Severe
2023-01-01 05:00:00,3578.19,64.37,55.52,14.13,44.35,276.54,336.79,16.21,5,2023-01-01,Sunday,410.6,286.8,69.4,55.4,4.1,14.1,119.7,410.6,pm2_5,Severe
2023-01-01 06:00:00,3578.19,46.94,76.09,33.26,50.54,295.4,357.07,19.25,6,2023-01-01,Sunday,418.2,308.8,95.1,63.2,4.8,33.3,119.7,418.2,pm2_5,Severe
2023-01-01 07:00:00,1468.66,9.83,47.3,105.86,68.66,158.83,182.61,7.09,7,2023-01-01,Sunday,329.9,155.1,59.1,85.8,1.8,108.6,73.4,329.9,pm2_5,Very Poor
2023-01-01 08:00:00,1161.58,5.81,35.99,125.89,61.99,134.39,153.47,5.51,8,2023-01-01,Sunday,311.1,135.6,45.0,77.5,1.4,138.1,58.1,311.1,pm2_5,Very Poor
2023-01-01 09:00:00,1161.58,4.58,36.33,134.47,65.8,133.22,152.09,6.02,9,2023-01-01,Sunday,310.2,134.7,45.4,82.2,1.5,150.7,58.1,310.2,pm2_5,Very Poor
2023-01-01 10:00:00,2376.56,14.98,80.88,70.1,64.85,197.11,235.99,19.76,10,2023-01-01,Sunday,359.3,190.7,100.9,81.1,4.9,70.1,104.7,359.3,pm2_5,Very Poor
2023-01-01 11:00:00,4325.87,54.09,119.27,12.34,66.76,298.82,366.6,34.96,11,2023-01-01,Sunday,419.5,320.8,139.3,83.5,8.7,12.3,129.1,419.5,pm2_5,Severe
2023-01-01 12:00:00,6141.66,123.38,127.49,0.72,78.2,385.41,474.7,47.62,12,2023-01-01,Sunday,454.2,426.3,147.5,97.8,11.9,0.7,151.8,454.2,pm2_5,Severe
2023-01-01 13:00:00,8010.86,189.54,137.09,0.0,109.67,493.18,603.98,71.94,13,2023-01-01,Sunday,497.3,502.3,157.1,109.9,18.0,0.0,175.1,502.3,pm10,Severe
2023-01-01 14:00:00,9506.23,225.31,142.57,0.0,141.14,608.62,742.76,96.26,14,2023-01-01,Sunday,543.4,584.0,162.6,120.4,24.1,0.0,193.8,584.0,pm10,Severe
2023-01-01 15:00:00,10253.91,228.88,143.95,0.0,156.4,689.94,840.91,110.45,15,2023-01-01,Sunday,576.0,641.7,163.9,125.5,27.6,0.0,203.6,641.7,pm10,Severe
2023-01-01 16:00:00,10574.34,228.88,146.69,0.0,177.38,743.91,904.27,125.65,16,2023-01-01,Sunday,597.6,679.0,166.7,132.5,31.4,0.0,208.2,679.0,pm10,Severe
2023-01-01 17:00:00,11322.02,236.03,152.17,0.0,205.99,811.4,981.17,147.94,17,2023-01-01,Sunday,624.6,724.2,172.2,142.0,37.0,0.0,218.9,724.2,pm10,Severe
